no,x,y,z,begin
0,0.980346,0.16922,0.0308614,normal
1,0.979661,0.16811,0.0261865,normal
2,0.936434,0.169376,0.0315328,normal
3,0.967101,0.163991,0.0227648,normal
4,0.926049,0.173758,0.0328246,normal
5,0.923394,0.17774,0.0311404,normal
6,0.921188,0.173496,0.0238502,normal
7,0.916753,0.185106,0.0164026,normal
8,0.727469,-0.30069,-0.0502545,normal
9,0.737041,-0.282879,-0.0505763,normal
10,0.711457,-0.314613,-0.0618815,normal
11,0.512911,0.467711,0.543913,normal
12,0.510922,0.468435,0.521197,normal
13,0.547948,-0.0702602,0.0339314,normal
14,0.550902,-0.106309,-0.00730446,normal
15,0.554966,-0.0754373,0.0045162,normal
16,0.548713,-0.0462836,-0.00400174,normal
17,0.554571,-0.111629,-0.0445373,normal
18,0.568558,-0.0749813,-0.0425785,normal
19,0.555963,-0.039404,-0.04609,normal
20,0.557778,-0.112519,-0.0890453,normal
21,0.57837,-0.0755175,-0.0856243,normal
22,0.562031,-0.028818,-0.0873862,normal
23,0.483259,0.468974,0.548003,normal
24,0.502394,-0.112745,0.490558,normal
25,0.501419,-0.100096,0.489689,normal
26,0.480675,0.470792,0.507219,normal
27,0.502115,-0.109691,0.481811,normal
28,0.500539,-0.0896272,0.47482,normal
29,0.468053,0.48355,0.477091,normal
30,0.458022,0.493339,0.46884,normal
31,0.498614,-0.0838764,0.18477,normal
32,0.50406,-0.110658,0.140989,normal
33,0.504785,-0.0809793,0.154748,normal
34,0.498052,-0.0534077,0.140104,normal
35,0.514514,-0.113413,0.104896,normal
36,0.519547,-0.0795301,0.107369,normal
37,0.503992,-0.0470838,0.104214,normal
38,0.530092,-0.115866,0.0560301,normal
39,0.53623,-0.0784971,0.0578022,normal
40,0.515248,-0.0416659,0.0560063,normal
41,0.538062,-0.122916,0.00753444,normal
42,0.542945,-0.0854967,0.0244487,normal
43,0.526383,-0.0355029,0.00976473,normal
44,0.536978,-0.13568,-0.0390688,normal
45,0.532244,-0.0236599,-0.0379419,normal
46,0.505466,-0.156688,-0.0907868,normal
47,0.531439,-0.138197,-0.0942171,normal
48,0.537241,-0.0109771,-0.0802248,normal
49,0.528272,-0.409036,-0.153046,normal
50,0.533064,-0.394718,-0.144793,normal
51,0.496837,-0.0399557,-0.137335,normal
no,x,y,z,end
no,x,y,z,begin
0,0.923074,-0.255461,-0.00237682,normal
1,0.913405,-0.27518,-0.024967,normal
2,0.915111,-0.265561,-0.0213809,normal
3,0.513984,0.467146,0.540352,normal
4,0.511589,0.4679,0.52141,normal
5,0.547837,-0.0736897,0.0353576,normal
6,0.551702,-0.106921,-0.00624759,normal
7,0.555561,-0.0757948,0.00528228,normal
8,0.54808,-0.0466032,-0.00463079,normal
9,0.555644,-0.113147,-0.0435643,normal
10,0.570061,-0.0751067,-0.0427317,normal
11,0.555428,-0.0395971,-0.0460915,normal
12,0.559085,-0.114104,-0.0909766,normal
13,0.580174,-0.0760465,-0.0871283,normal
14,0.563032,-0.0302602,-0.0886973,normal
15,0.558618,-0.113826,-0.123009,normal
16,0.563488,-0.100683,-0.129387,normal
17,0.577118,-0.0271154,-0.119087,normal
18,0.48086,0.470751,0.550621,normal
19,0.501607,-0.102907,0.484341,normal
20,0.479766,0.470921,0.506758,normal
21,0.501981,-0.107947,0.481811,normal
22,0.502171,-0.0987622,0.480361,normal
23,0.467559,0.484093,0.47667,normal
24,0.457743,0.493603,0.467298,normal
25,0.499162,-0.0863803,0.185296,normal
26,0.505463,-0.111879,0.143431,normal
27,0.505619,-0.0815285,0.155417,normal
28,0.497659,-0.0523046,0.140995,normal
29,0.516646,-0.114071,0.105164,normal
30,0.520557,-0.0794771,0.107221,normal
31,0.504312,-0.0479626,0.103613,normal
32,0.530472,-0.117541,0.0556236,normal
33,0.536389,-0.0785961,0.0582757,normal
34,0.515808,-0.0427946,0.0559881,normal
35,0.538449,-0.123988,0.00751872,normal
36,0.543452,-0.085004,0.0249859,normal
37,0.52833,-0.037105,0.00942592,normal
38,0.517663,-0.157161,-0.040594,normal
39,0.535801,-0.138799,-0.039389,normal
40,0.53259,-0.0246203,-0.0372412,normal
41,0.506878,-0.156997,-0.0914543,normal
42,0.531429,-0.140021,-0.0952328,normal
43,0.535988,-0.0134865,-0.0796219,normal
44,0.543417,-0.132115,-0.119718,normal
45,0.501386,-0.0382882,-0.142806,normal
no,x,y,z,end
no,x,y,z,begin
0,0.97517,-0.191474,0.0146765,normal
1,0.514478,0.466482,0.540405,normal
2,0.510164,0.469151,0.520282,normal
3,0.548001,-0.0756414,0.0358544,normal
4,0.551647,-0.107274,-0.00657426,normal
5,0.555932,-0.0757823,0.00470702,normal
6,0.548631,-0.0459784,-0.00609866,normal
7,0.555841,-0.112654,-0.0435483,normal
8,0.569917,-0.075201,-0.0428768,normal
9,0.556353,-0.0400956,-0.0460751,normal
10,0.558971,-0.11419,-0.0907019,normal
11,0.579916,-0.0756865,-0.0867222,normal
12,0.562751,-0.0297919,-0.0887408,normal
13,0.550762,-0.125568,-0.12087,normal
14,0.574614,-0.0293899,-0.119833,normal
15,0.479684,0.468628,0.550285,normal
16,0.501613,-0.102962,0.484563,normal
17,0.481045,0.470762,0.507212,normal
18,0.500838,-0.0931168,0.480943,normal
19,0.467152,0.484494,0.476722,normal
20,0.457176,0.494422,0.466836,normal
21,0.499033,-0.087168,0.185861,normal
22,0.504358,-0.112286,0.142896,normal
23,0.506069,-0.0816161,0.155245,normal
24,0.497647,-0.0523668,0.141907,normal
25,0.516472,-0.113379,0.105128,normal
26,0.520762,-0.0794555,0.107338,normal
27,0.504761,-0.0481713,0.103304,normal
28,0.530924,-0.116871,0.0558258,normal
29,0.536587,-0.0784408,0.0583641,normal
30,0.515946,-0.0424397,0.055988,normal
31,0.538804,-0.12358,0.00803344,normal
32,0.542987,-0.0832933,0.0247781,normal
33,0.529122,-0.0372535,0.00963552,normal
34,0.512513,-0.157499,-0.0506148,normal
35,0.535586,-0.138271,-0.0404252,normal
36,0.532931,-0.0246021,-0.0383168,normal
37,0.507464,-0.157219,-0.0865144,normal
38,0.530695,-0.140345,-0.0936023,normal
39,0.533471,-0.0119289,-0.0843818,normal
40,0.521094,-0.00367353,-0.0991672,normal
41,0.541283,-0.131831,-0.119948,normal
42,0.500005,-0.0403346,-0.143881,normal
no,x,y,z,end
no,x,y,z,begin
0,0.970705,-0.186662,0.0109931,normal
1,0.968175,-0.144013,0.0186161,normal
2,0.95168,-0.184987,0.00333031,normal
3,0.905297,-0.127072,0.000370651,normal
4,0.905982,-0.118437,0.00622199,normal
5,0.876755,-0.289904,-0.00915423,normal
6,0.884775,-0.270173,0.00699136,normal
7,0.898011,-0.133176,-0.0114235,normal
8,0.897145,-0.117137,0.0122543,normal
9,0.873527,-0.296292,-0.0202386,normal
10,0.893417,-0.136995,-0.0208753,normal
11,0.679108,-0.314491,-0.0889977,normal
12,0.622477,0.251312,-0.129128,normal
13,0.621041,0.255812,-0.12983,normal
14,0.635167,-0.366561,-0.10549,normal
15,0.659162,-0.334121,-0.0971775,normal
16,0.594502,0.246083,-0.111743,normal
17,0.592108,0.264828,-0.114727,normal
18,0.613348,0.251549,-0.129193,normal
19,0.598159,0.265253,-0.127152,normal
20,0.515897,0.466222,0.540996,normal
21,0.510323,0.4689,0.521323,normal
22,0.548069,-0.0750227,0.0353825,normal
23,0.551186,-0.106994,-0.00679192,normal
24,0.555442,-0.0758668,0.00512104,normal
25,0.547972,-0.046912,-0.00477797,normal
26,0.555544,-0.112627,-0.0441438,normal
27,0.569535,-0.0750589,-0.0427484,normal
28,0.555797,-0.0398595,-0.0457879,normal
29,0.609543,-0.398913,-0.110351,normal
30,0.601255,-0.392157,-0.112643,normal
31,0.558907,-0.113899,-0.0905223,normal
32,0.579556,-0.0760836,-0.087013,normal
33,0.56309,-0.0301063,-0.0890627,normal
34,0.594052,-0.393688,-0.119157,normal
35,0.556449,-0.11523,-0.121542,normal
36,0.482037,0.468825,0.546063,normal
37,0.481045,0.470476,0.507477,normal
